Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
69,69,D2 15:00,D2 15:15,0.0,0.0,0.0,227.27322065306424,227.27322065306424,4.79,9.32575121504398,8.12825121504398
70,70,D2 15:15,D2 15:30,0.0,8.0,0.0,227.27322065306424,225.1679574951695,0.0,8.12825121504398,10.12825121504398
71,71,D2 15:30,D2 15:45,0.0,0.0,10.0,225.1679574951695,222.6679574951695,4.71,10.12825121504398,8.95075121504398
72,72,D2 15:45,D2 16:00,0.0,0.0,0.0,222.6679574951695,222.6679574951695,3.16,8.95075121504398,8.16075121504398
73,73,D2 16:00,D2 16:15,0.0,0.0,0.0,222.6679574951695,222.6679574951695,3.16,8.16075121504398,7.37075121504398
74,74,D2 16:15,D2 16:30,0.0,0.0,0.0,222.6679574951695,222.6679574951695,3.16,7.37075121504398,6.58075121504398
75,75,D2 16:30,D2 16:45,0.0,0.0,0.0,222.6679574951695,222.6679574951695,0.0,6.58075121504398,6.58075121504398
76,76,D2 16:45,D2 17:00,0.0,0.0,0.0,222.6679574951695,222.6679574951695,4.79,6.58075121504398,5.38325121504398
77,77,D2 17:00,D2 17:15,0.0,0.0,0.0,222.6679574951695,222.6679574951695,0.0,5.38325121504398,5.38325121504398
78,78,D2 17:15,D2 17:30,0.0,0.0,0.0,222.6679574951695,222.6679574951695,0.0,5.38325121504398,5.38325121504398
79,79,D2 17:30,D2 17:45,0.0,0.0,0.0,222.6679574951695,222.6679574951695,0.0,5.38325121504398,5.38325121504398
80,80,D2 17:45,D2 18:00,0.0,0.0,0.0,222.6679574951695,222.6679574951695,0.0,5.38325121504398,5.38325121504398
